[consttime-swap] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         98,547,588      49,218,515           1,721           1,507
  0x5a         98,547,588      49,218,515           1,721           1,507
  0x6d         98,547,588      49,218,515           1,721           1,507
  0x71         98,547,588      49,218,515           1,721           1,507
  0x30         98,547,588      49,218,515           1,721           1,507
  0x7e         98,547,588      49,218,515           1,721           1,507
  0x21         98,547,588      49,218,515           1,721           1,507
  0x35         98,547,588      49,218,515           1,721           1,507
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

CONSTTIME-SWAP CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
